property_type,property_subtype,living_area_m2,bedrooms,bathrooms,postal_code,latitude,longitude,building_year,state_of_the_building,furnished,has_garage,parking_count,kitchen_equipped,has_elevator,facades,floors_total,has_garden,garden_area_m2,has_terrace,total_area_m2,epc_score,region,province,km_from_nearby_city,is_nearby_city_prestigious,floor_number,coord_swapped,urban_density,property_age,living_area_ratio,bedroom_density,average_room_size,living_area_squared,external_area_dominance_index
Apartment,apartment,107.0,3.0,,5580,50.1596036,5.2221665,,,0,1,,,0,,,0,,1,,,Wallonia,Namur,42.4,0,,False,76.78132392674699,,,0.028037383177570093,35.666666666666664,11449.0,
House,residence,153.0,4.0,1.0,2800,51.0216389,4.4749801,1899.0,,0,0,,Fully equipped,0,2.0,,0,,1,78.0,D,Flanders,Antwerp,0.5,0,,False,1362.8044856817278,127.0,1.9615384615384615,0.026143790849673203,38.25,23409.0,-0.9615384615384615
House,residence,164.0,3.0,1.0,6220,50.45453,4.55332,,,0,1,1.0,,0,,3.0,1,,1,730.0,F,Wallonia,Hainaut,9.1,0,,False,385.413160337376,,0.22465753424657534,0.018292682926829267,54.666666666666664,26896.0,0.7753424657534247
House,residence,256.0,3.0,1.0,3945,51.10882,5.191537,2005.0,Normal,0,1,,,0,4.0,,1,,0,1655.0,B,Flanders,Limburg,15.3,0,,False,,21.0,0.15468277945619335,0.01171875,85.33333333333333,65536.0,0.8453172205438066
Apartment,apartment,100.0,2.0,,1070,50.8412104,4.3005705,1962.0,Normal,0,0,,,0,2.0,,0,,0,,C,Brussels,Brussels Capital Region,3.7,0,2.0,False,7185.624093582328,64.0,,0.02,50.0,10000.0,
House,residence,136.0,4.0,1.0,1301,50.7011788,4.6191047,1988.0,To renovate,0,1,1.0,Fully equipped,0,4.0,2.0,1,369.0,1,660.0,D,Wallonia,Walloon Brabant,20.7,0,,False,844.8819268796698,38.0,0.20606060606060606,0.029411764705882353,34.0,18496.0,0.793939393939394
Apartment,apartment,50.0,1.0,1.0,1020,50.9000847,4.3601883,,Normal,0,0,,,0,2.0,4.0,0,,1,,D,Brussels,Brussels Capital Region,5.6,0,2.0,False,5993.831924903229,,,0.02,50.0,2500.0,
House,residence,153.0,3.0,1.0,9400,50.8311501,3.993735,,New,1,1,1.0,,0,3.0,,1,,0,524.0,,Flanders,East Flanders,12.3,0,,False,554.9891256142763,,0.2919847328244275,0.0196078431372549,51.0,23409.0,0.7080152671755725
House,residence,80.0,3.0,1.0,6941,50.3609641,5.5993089,,Normal,0,1,1.0,Partially equipped,0,4.0,1.0,1,,1,3186.0,E,Wallonia,Luxembourg,30.2,0,,False,73.28168569300765,,0.025109855618330193,0.0375,26.666666666666668,6400.0,0.9748901443816698
House,residence,51.0,2.0,1.0,6663,50.1229818,5.707116,,Normal,0,0,,,0,4.0,,1,,1,3748.0,E,Wallonia,Luxembourg,49.5,0,,False,31.873545949508046,,0.013607257203842048,0.0392156862745098,25.5,2601.0,0.986392742796158
House,residence,220.0,4.0,1.0,3550,51.05405,5.333481,2025.0,New,0,1,1.0,,0,2.0,,1,,1,,,Flanders,Limburg,13.7,0,,False,655.1360082821627,1.0,,0.01818181818181818,55.0,48400.0,
